donor_id,Donors,org_intervention_id
1,Italian Ministry of Foreign Affairs,412000
2,Australian Agency for International Development (AusAID),71012
3,World Food Program (WFP),112001
4,USAID,155365
5,Salvation Army International,1044366
6,NA,6302016
7,Millenium Chalenge Corporation,522221
8,NA,423611
9,ILCU Foundation,7633325
10,Food and Agricultural Organisation (FAO),52112335
11,NA,252222
12,KfW Group,3325566
13,International Red Cross Society,3664478
14,Centers for Disease Control and Prevention (CDC),758662
15,NA,144223
16,Hurlbut-Johnson Charitable Trusts,555221
17,NA,8775699
18,PEPFAR,5544226
19,First Giving Panorama Fundraising,224463
20,Food and Agricultural Organisation (FAO),5555411
21,NA,4495662
22,Good Work International,521102
23,DFID,202549
24,World Bank,204788
25,UKAID,300557
26,DFID,204437
27,DFID,755662
28,Vitol Charitable Foundation,695523
29,NA,8632555
30,Good Work International,254111
