project_id,project_name,org_intervention_id,donor_id,sectors_ID,start_date,end_date,lat,lon,Geographic_name,budget_numeric,budget_currency
31,Dagoretti Children in Need Project,412000,1,61,4/1/2000,9/30/2020,36.757017,-1.295338757,Dagoretti,15000000,USD
32,Child Focused Community Development in Kenya,71012,2,62,7/10/2012,6/30/2019,36.91354,-1.202642914,Githurai,27652000,USD
33,Residential Care Facilities in Kenya,112001,3,61,1/1/2001,6/30/2025,36.735703,-1.271499736,Kangemi,15687000,USD
34,Nairobi Archdiocese Peace Building Project,155365,4,64,1/1/2016,12/12/2018,36.855877,-1.262089856,mathare,49638,USD
35,Nairobi Urban Community Health Project,1044366,5,61,10/1/2015,9/30/2020,36.90199,-1.249724902,dandora,2259827,USD
36,Institutional Strengthening in Kenya ,6302016,6,64,6/30/2016,12/31/2018,36.882204,-1.253844882,kariobangi,328420,GBP
37,Program Research for Strengthening Services,522221,7,61,6/16/2019,6/30/2020,36.735703,-1.271499736,kangemi,14621000,USD
38,Commonwealth Partnership for Democracy ,423611,8,66,6/24/2018,8/31/2019,36.750759,-1.281651751,kawangware,30000,USD
39,Amkeni Wakenya programme ,7633325,9,64,9/15/2015,12/25/2019,36.873016,-1.255515873,Huruma,60000000,USD
40,Standards and Market Access Programme,52112335,10,62,7/8/2016,4/22/2020,36.757017,-1.295338757,Dagoretti,12100000,EUROS
41,Maternal and Child Health,252222,11,61,3/15/2017,3/23/2019,36.787825,-1.312077788,Kibera,800000,EUROS
42,NAIROBI WATER DISTRIBUTION PROGRAMME,3325566,12,65,10/26/2017,9/24/2021,36.757017,-1.295338757,Dagoretti,5000000,EUROS
43,"CONFLICT PREVENTION, PEACE, AND ECONOMIC OPPORTUNITIES FOR YOUTH IN KENYA",3664478,13,66,8/13/2016,8/31/2020,36.91354,-1.202642914,Githurai,14000000,EUROS
44,Nilinde,758662,14,66,8/15/2018,8/20/2019,36.855877,-1.262089856,mathare,41000000,USD
45,"Zuia ukimwi imarisha officer
Accelerating Children's HIV/AIDS treatment
Timiza 90
",144223,15,61,2/24/2016,4/26/2019,36.87283,-1.241814873,baba dogo,6579200,USD
46,Kibera legal and Social justice Programme,555221,16,63,4/15/2017,3/20/2020,36.787825,-1.312077788,Kibera,567100,GBP
47,Empower a child Kenya,8775699,17,63,1/5/2018,6/10/2021,36.882204,-1.253844882,Kariobangi,1256000,USD
48,Creative Change Programme,5544226,18,63,6/17/2018,9/24/2020,36.87283,-1.241814873,Baba Dogo,3579250,USD
49,Kibera Slum Education Programme,224463,19,63,5/30/2015,9/20/2019,36.787825,-1.312077788,Kibera,6484600,USD
50,"Access to and use of information, innovation, a global pool of knowledge and expertise drives holistic growth in the agricultural sector",5555411,20,62,7/22/2016,3/27/2020,36.750759,-1.281651751,kawangware,2641500,EUROS
51,Research study in Nairobis low income settlements,4495662,21,65,7/11/2016,7/11/2020,36.87283,-1.241814873,baba dogo,158000,USD
52,Calvary Primary School Construction troubles in the Informal Settlements,521102,22,65,10/1/2012,10/31/2019,36.750759,-1.281651751,kawangware,2318600,GBP
53,Reducing Maternal and Newborn Deaths in Kenya,202549,23,61,11/14/2013,3/31/2023,36.855877,-1.262089856,Mathare,64695516,GBP
54,Kenya Devolution Support Programme,204788,24,64,3/15/2016,12/31/2020,36.90199,-1.249724902,Dandora,200000000,USD
55,Kenya Catalytic Jobs Fund,300557,25,66,2/8/2019,3/31/2024,36.873016,-1.255515873,Huruma,5000000,GBP
56,Deepening Democracy Programme,204437,26,64,9/2/2015,9/30/2020,36.91354,-1.202642914,Githurai,28499990,GBP
57,KENYA Resilient Arid Lands Partnership for Integrated Development,755662,27,65,9/1/2015,9/30/2019,36.787825,-1.312077788,Kibera,35500000,USD
58,KIWASH,695523,28,65,4/22/2017,4/30/2022,36.750759,-1.281651751,kawangware,50995898,USD
59,Food for All Project in Kenya (F4APK),8632555,29,62,1/7/2015,6/30/2020,36.787825,-1.312077788,Kibera,25000000,USD
60,Conservation Agriculture Program,254111,30,62,6/1/2016,5/31/2021,36.91354,-1.202642914,Githurai,120197,USD
